handle,n_tweets,followers,format_short,format_medium,format_long,format_super_long,format_article,avg_chars,image_rate,video_rate,reply_rate,quote_rate,self_thread_rate,url_rate,hashtag_per_post,mention_per_post,emoji_per_post,weekend_rate,hour_band_morning,hour_band_noon,hour_band_afternoon,hour_band_evening,hour_band_midnight,primary_time_band
ClaudeCode_love,92,31071,0.08695652173913043,0.21739130434782608,0.6521739130434783,0.043478260869565216,0.0,376.8,0.0,0.0,0.239,0.0,0.0,0.63,0.0,0.054,2.685,0.207,0.185,0.207,0.293,0.228,0.087,afternoon
Shimayus,100,11940,0.33,0.62,0.02,0.03,0.0,165.2,0.0,0.0,0.13,0.0,0.0,0.18,0.02,0.15,0.1,0.22,0.24,0.32,0.11,0.28,0.05,noon
SuguruKun_ai,100,105230,0.32,0.4,0.26,0.02,0.0,223.7,0.0,0.0,0.77,0.0,0.0,0.52,0.0,0.13,0.61,0.38,0.04,0.49,0.3,0.13,0.04,noon
masahirochaen,100,194125,0.33,0.35,0.29,0.03,0.0,254.5,0.0,0.0,0.5,0.0,0.0,0.52,0.02,0.22,0.55,0.22,0.33,0.16,0.21,0.07,0.23,morning
Atenov_D,62,11938,0.9354838709677419,0.04838709677419355,0.0,0.016129032258064516,0.0,83.5,0.065,0.016,0.984,0.016,0.016,0.065,0.0,1.871,0.0,0.0,0.0,0.0,0.0,0.484,0.516,midnight
ClaudeCode_UT,100,19704,0.02,0.28,0.66,0.0,0.04,300.3,0.75,0.65,0.05,0.95,0.05,0.85,0.0,0.05,0.95,0.43,0.24,0.2,0.34,0.22,0.0,afternoon
Codestudiopjbk,95,8834,0.07368421052631578,0.17894736842105263,0.6526315789473685,0.06315789473684211,0.031578947368421054,403.5,0.842,0.495,0.074,0.747,0.063,0.568,0.0,0.084,3.168,0.147,0.284,0.211,0.211,0.158,0.137,morning
Fluyeporlaweb,86,21961,0.6395348837209303,0.1744186046511628,0.011627906976744186,0.1744186046511628,0.0,257.2,0.174,0.163,0.802,0.14,0.279,0.337,0.0,0.686,2.128,0.36,0.174,0.0,0.163,0.326,0.337,midnight
MakeAI_CEO,100,23175,0.16,0.64,0.17,0.0,0.03,201.6,0.03,0.02,0.78,0.14,0.77,0.08,0.0,0.02,0.1,0.57,0.36,0.15,0.36,0.13,0.0,afternoon
ObsidianOtaku,61,1069,0.01639344262295082,0.18032786885245902,0.6885245901639344,0.0,0.11475409836065574,282.4,0.639,0.525,0.066,0.869,0.049,0.82,0.0,0.066,0.967,0.475,0.295,0.082,0.262,0.361,0.0,evening
