"日付","合計（円）","預金・現金・暗号資産（円）","ポイント（円）"
"2026/06/14","342681","332896","9785"
"2026/06/13","342681","332896","9785"
"2026/06/12","344879","335094","9785"
"2026/06/11","344458","335094","9364"
"2026/06/10","347400","338036","9364"
"2026/06/09","334247","324883","9364"
"2026/06/08","240013","230649","9364"
"2026/06/07","240013","230649","9364"
"2026/06/06","375663","366299","9364"
"2026/06/05","933842","925776","8066"
"2026/06/04","864495","856429","8066"
"2026/06/03","708941","700875","8066"
"2026/06/02","708941","700875","8066"
"2026/06/01","708941","700875","8066"
"2026/05/31","697641","689575","8066"
"2026/04/30","665330","657264","8066"
"2026/03/31","659773","652204","7569"
"2026/02/28","668452","661368","7084"
"2026/01/31","700779","694725","6054"
"2025/12/31","640049","634816","5233"
"2025/11/30","559890","555290","4600"
"2025/10/31","498279","494370","3909"
"2025/09/30","451597","449372","2225"
"2025/08/31","401804","400341","1463"
"2025/07/31","344258","343195","1063"
"2025/06/30","325512","325245","267"
"2025/05/31","337979","337315","664"
"2025/04/30","445847","436034","9813"
"2025/03/31","29698","29698","0"
