"日付","合計（円）","預金・現金・暗号資産（円）","ポイント（円）"
"2026/06/06","396605","388539","8066"
"2026/06/05","396605","388539","8066"
"2026/06/04","396605","388539","8066"
"2026/06/03","396605","388539","8066"
"2026/06/02","396605","388539","8066"
"2026/06/01","396605","388539","8066"
"2026/05/31","396605","388539","8066"
"2026/05/30","396605","388539","8066"
"2026/05/29","396605","388539","8066"
"2026/05/28","396605","388539","8066"
"2026/05/27","396605","388539","8066"
"2026/05/26","396605","388539","8066"
"2026/05/25","396605","388539","8066"
"2026/05/24","396605","388539","8066"
"2026/05/23","396605","388539","8066"
"2026/05/22","396605","388539","8066"
"2026/05/21","396605","388539","8066"
"2026/05/20","396605","388539","8066"
"2026/05/19","396605","388539","8066"
"2026/05/18","396605","388539","8066"
"2026/05/17","396605","388539","8066"
"2026/05/16","396605","388539","8066"
"2026/05/15","396605","388539","8066"
"2026/05/14","396605","388539","8066"
"2026/05/13","396605","388539","8066"
"2026/05/12","396605","388539","8066"
"2026/05/11","396605","388539","8066"
"2026/05/10","396605","388539","8066"
"2026/05/09","396605","388539","8066"
"2026/05/08","396605","388539","8066"
"2026/05/07","396605","388539","8066"
"2026/05/06","396605","388539","8066"
"2026/05/05","396605","388539","8066"
"2026/05/04","396605","388539","8066"
"2026/05/03","396605","388539","8066"
"2026/05/02","396605","388539","8066"
"2026/05/01","396605","388539","8066"
"2026/04/30","396605","388539","8066"
"2026/03/31","390022","382453","7569"
"2026/02/28","402701","395617","7084"
"2026/01/31","436028","429974","6054"
"2025/12/31","435298","430065","5233"
"2025/11/30","414648","410048","4600"
"2025/10/31","396279","392370","3909"
"2025/09/30","376597","374372","2225"
"2025/08/31","336804","335341","1463"
"2025/07/31","344258","343195","1063"
"2025/06/30","325512","325245","267"
"2025/05/31","337979","337315","664"
"2025/04/30","445847","436034","9813"
"2025/03/31","29698","29698","0"
