"日付","合計（円）","預金・現金・暗号資産（円）","ポイント（円）"
"2026/06/18","164371","154586","9785"
"2026/06/17","164371","154586","9785"
"2026/06/16","247981","238196","9785"
"2026/06/15","247981","238196","9785"
"2026/06/14","254758","244973","9785"
"2026/06/13","254756","244971","9785"
"2026/06/12","256954","247169","9785"
"2026/06/11","256533","247169","9364"
"2026/06/10","259475","250111","9364"
"2026/06/09","246322","236958","9364"
"2026/06/08","152088","142724","9364"
"2026/06/07","152088","142724","9364"
"2026/06/06","287738","278374","9364"
"2026/06/05","845917","837851","8066"
"2026/06/04","776570","768504","8066"
"2026/06/03","621016","612950","8066"
"2026/06/02","621016","612950","8066"
"2026/06/01","621016","612950","8066"
"2026/05/31","609716","601650","8066"
"2026/04/30","577405","569339","8066"
"2026/03/31","571848","564279","7569"
"2026/02/28","580527","573443","7084"
"2026/01/31","612854","606800","6054"
"2025/12/31","552124","546891","5233"
"2025/11/30","471965","467365","4600"
"2025/10/31","410354","406445","3909"
"2025/09/30","363672","361447","2225"
"2025/08/31","313879","312416","1463"
"2025/07/31","256333","255270","1063"
"2025/06/30","237587","237320","267"
"2025/05/31","250054","249390","664"
"2025/04/30","357922","348109","9813"
"2025/03/31","-58227","-58227","0"
