"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/01/23","【PS5】DEATH STRANDING DIRECTOR'S CUT 販売: ウォーズ","-2780","Amazon.co.jp","未分類","未分類","","0","R8b6VNbayTWCehlAix7jmq2RqvfoO-eBIlPRCJZojJ4"
"1","2024/01/19","Amazonポイント","1008","Amazon.co.jp","未分類","未分類","","0","AuHGYFzXB6G0u-mi64v-VKCkrrsPH-PCufUQqly4P2U"
"1","2024/01/19","割引","796","Amazon.co.jp","未分類","未分類","","0","2ZKX4tgGFMAUyo8TaT46MWFhNzbaPO0mObsSjzaMNaw"
"1","2024/01/19","SURPHY iPhone14用ケース シリコン, 6.1インチ対応(2022) あいふぉん14用シリコンケース (レンズの全面保護) 耐衝撃 超軽量 指紋防止 全面保護 iPhone14用ソフトカバー (カーキグリーン) 販売: SURPHY-JP","-2200","Amazon.co.jp","未分類","未分類","","0","IUyvQqg5eT9wzUlBZPD6g8AA3tk2Wanimtmf7UuH7ms"
"1","2024/01/19","Kaedear(カエディア) スマホホルダー 携帯ホルダー バイク用 振動吸収 エアーマウント 一体型, サイドレバー ロック 耐久強度 中間マウント防犯タイプ, スライドロック/Air Mount KDR-M28 販売: 株式会社Kaedear【カエディア公式】Yokohama Moto Accessory","-3795","Amazon.co.jp","現金・カード","電子マネー","","0","nZq0GEJS-jbwLtQM7VnLx9RSrtdsn48DuJKL_jloups"
"1","2024/01/17","ザバス(SAVAS) ソイプロテイン100 ソイミルク風味 900g 明治 販売: 雑貨通販クレア","-3180","Amazon.co.jp","未分類","未分類","","0","n6LbaDLrxBAEPGde7KuQ50qKYgdXlHwrl1bzPTZfBHI"
"1","2024/01/16","テスウリヨウ","-330","横浜銀行","その他","雑費","","0","tGUre5KDV-qzX7nKcwIobc-RVI9Q-hqwU0JWg6gwOkU"
"1","2024/01/16","インタ-ネツト カ)クレデンス","-77330","横浜銀行","通信費","インターネット","","0","4PZ9OSq3kToJd95KuxivcPHXq4d4puTs3MmVDl4CLS8"
"1","2024/01/16","024ミツイスミトモカ-ド","69214","横浜銀行","未分類","未分類","","0","kIag7hw-Scm-lebMp0bg6NNmWA7Jfip3g6Ar4vxTmS8"
"1","2024/01/11","割引","99","Amazon.co.jp","未分類","未分類","","0","mgCVSH_3NiA6Qqx2Id-Qnw1wqFM21e4QL6i3ujCOOCQ"
"1","2024/01/11","GUM(ガム) デンタルフロス&ピック Y字型 糸付きようじ 歯間ケア 30本入×3個パック+おまけ付き 販売: Amazon.co.jp","-990","Amazon.co.jp","健康・医療","医療費","","0","PjaPSVAejnRPWRFcucmmQ4678hAhjaIP63_JUIdZcq0"
"1","2024/01/09","クレジツト ミツイスミトモカ-ド (カ","-69599","横浜銀行","現金・カード","カード引き落とし","","0","tB1vhkh-_NFc9vj9e95wkkmC5qAXRpD5X_qPR4trc4I"
"1","2024/01/09","クドウ リク","73000","横浜銀行","未分類","未分類","","0","2pM57KwFEzd6eW4l1zkfFS0KPB1pdCtbiz8JQvT1Nno"
"1","2024/01/07","テスウリヨウ","-330","横浜銀行","その他","雑費","","0","mxxbikVngQ-_7aUVpMIZop7voJqVbbw63s2elkWauCY"
"1","2024/01/07","インタ-ネツト ラクテンカ-ド(カ","-124864","横浜銀行","現金・カード","カード引き落とし","","0","rvDLazuPL8HIKF7pxhHlECwIehiyZCylj5YUkOtjhwU"
"1","2024/01/07","ジドウキ","130000","横浜銀行","未分類","未分類","","0","BqiCdvBSWBIPFMc95metaLFHlG00X851ddOea7xumF8"
"1","2024/01/06","ジドウキ","-28000","横浜銀行","現金・カード","ATM引き出し","","0","95L8G4HjfMutE7j-poq1bNnUczp65Ix_FmxKGVO2EZM"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/02/28","【Amazon.co.jp 限定】クモリ(Kumori) 洗える 敷きパッド 綿100% ベッドパッド 丸洗いOK 抗菌・防臭・防ダニ加工 オールシーズンで使える ベッドシーツ ベッドマット 敷パッド マットレスパッド (ダブル・140X200cm ホワイト) 販売: Amazon.co.jp","-2980","Amazon.co.jp","未分類","未分類","","0","jchBVy7tFSkHrh-xX4LyptBRg6_SFxaW7z1n_XEBljw"
"1","2024/02/28","ザバス(SAVAS) ソイプロテイン100 カフェラテ風味 900g 明治 販売: Amazon.co.jp","-3748","Amazon.co.jp","食費","カフェ","","0","0-ABIxkfRIuK9xIrOCYcvWs4sO_ca8XKGoLg7QWJCX0"
"1","2024/02/27","テスウリヨウ","-165","横浜銀行","その他","雑費","","0","UGHkXNbsSqygJjAJ_u4aYirHeDIi7p6YGSjECb69NHg"
"1","2024/02/27","インタ-ネツト ササキ アキムネ","-19242","横浜銀行","通信費","インターネット","","0","ZzeknloHd_oFjOH0wT4qAqgCLs3KczONb_iUp1pkTAY"
"1","2024/02/27","クレジツト ラクテンカ-ドサ-ビス","-135018","横浜銀行","現金・カード","カード引き落とし","","0","DNGNFoi9Ffkg1-P5A0G9E4jlGLKp2zXkFwSPXASK2wY"
"1","2024/02/27","コウザフリカエ AP(インサイト.ヤチン","-77330","横浜銀行","住宅","家賃・地代","","0","pRlqZGWBL6xZIcpfK_THDtNu3uxzbjQmVAJR__2JL6s"
"1","2024/02/27","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","DO0rA8hZJ0EcvdsMvimdOd4WG8HWP5CGjqjgtcpSYDI"
"1","2024/02/26","コウザフリカエ DF.バイクパ-ク","-9130","横浜銀行","未分類","未分類","","0","_eS7F9B-zzxdGgbaTQTOI2MzLL4USOzffnDB1rtQEls"
"1","2024/02/26","クレジツト ミツイスミトモカ-ド (カ","-171356","横浜銀行","現金・カード","カード引き落とし","","0","8tarJ5fvH4xftv00EFuoSz2sGtQhYm9_2BUVUuY5PNk"
"1","2024/02/25","テスウリヨウ (MICS)","-220","横浜銀行","その他","雑費","","0","iFys73FtXx0wFjAuAsM_QlmSPS3-r0wLvSCRUldMx-w"
"1","2024/02/25","ジドウキ (MICS)","-30000","横浜銀行","現金・カード","ATM引き出し","","0","TMb50kw2rE8cvMrUtadoc3WTOQ9nv6btWKvPOE2CtGc"
"1","2024/02/20","ジドウキ","-25000","横浜銀行","現金・カード","ATM引き出し","","0","0mnLk4BoIqMViK69piFdQsSAqrS6DZ6301SPXmRx1Mw"
"1","2024/02/18","セブン (セブンBK)","-30000","横浜銀行","現金・カード","ATM引き出し","","0","zTMvOTA0_7edSA9J_539aFBBtaVXG2CepvfJg4AcEy0"
"1","2024/02/16","テスウリヨウ","-330","横浜銀行","その他","雑費","","0","vZpnargdm4DxH2AXA_1-5zsCJ2cHZ4g4D-o63Ars4YI"
"1","2024/02/16","インタ-ネツト ササキ アキムネ","-33257","横浜銀行","通信費","インターネット","","0","1iVEpjVF6i_9IQY0IKuTdrpw-bVnvx8jrTBggN1HusQ"
"1","2024/02/15","Aclolo ベッドシーツクリップ 調節可能 ズレ防止クリップ ベッドシーツズレ落ちクリップ 滑り止めゴムバンド 6面 トライアングル (ホワイト) 販売: 神奈川ネット","-758","Amazon.co.jp","未分類","未分類","","0","H2D5jzy0oxtxZtAsUSdxAYx-Virk01OMAmQ5V8XLvvE"
"1","2024/02/15","ゴヘンサイ","-12883","横浜銀行","住宅","ローン返済","","0","Pvps1ZZJ-ppv578cU7xEUgnXhBYzNMGJ2q6AaGJtVZo"
"1","2024/02/15","ゼンコクケンコウホケンキヨウカイ","406687","横浜銀行","未分類","未分類","","0","jZnIc9Vf7erpNJU4E4Lr40CzpkWjVu0TJZQkxr_mWqQ"
"1","2024/02/15","ゼンコクケンコウホケンキヨウカイ","193343","横浜銀行","未分類","未分類","","0","gay13eOjHP8_CnBmUMi2KGBBH0Pzr6P8mqaRhos6ArI"
"1","2024/02/11","割引","99","Amazon.co.jp","未分類","未分類","","0","ifvxKuThFmF7rIwGRLI6nHDcsAXWoroUfQUVyU8Yyxc"
"1","2024/02/11","Katurasun 電動ドライバー 小型 [ペン/ピストル型 変形可能] LEDライト付 正逆転切替 大容量バッテリー 4.2V 60分連続使用 USB充電式 コードレス 充電 ビット11本付 軽量 操作簡単 家庭/DIY用 販売: Katurasun-JP","-1980","Amazon.co.jp","未分類","未分類","","0","U2VUVNRXwsGiwFFm9DhbtM8JnMfeTMcROMRh7GHKxPA"
"1","2024/02/09","割引","164","Amazon.co.jp","未分類","未分類","","0","t0ngp_7YGWjOt1JpMl4TSC-aCq_Me_41rF7RgJ159E8"
"1","2024/02/09","Lightee(ライティー) [医薬部外品] ホワイトニング ハミガキ PREMIUM ペースト 歯磨き粉 シトラスティー 100g+リーフレット付き 販売: Amazon.co.jp","-1640","Amazon.co.jp","未分類","未分類","","0","AQlA85odl7BWTwKEykSTjrgeWof9X04fP4DxXrncjow"
"1","2024/02/09","割引","150","Amazon.co.jp","未分類","未分類","","0","-847BP3ugVAdLHeSW8jLtP4nTjio1N5MUTDoKEigol4"
"1","2024/02/09","ザバス(SAVAS) ソイプロテイン100 ココア味 900g 明治 販売: Amazon.co.jp","-3000","Amazon.co.jp","未分類","未分類","","0","b4J78lK1qLeAGQAIASDiOluyiMt7PvJ48YAnUTgiHzk"
"1","2024/02/05","クレジツト ミツイスミトモカ-ド (カ","-440","横浜銀行","現金・カード","カード引き落とし","","0","1RTOby8IIH6m4jUBYVv_KihTedvUa-L6T5TlQ9lbgG0"
"1","2024/02/05","クドウ リク","1000","横浜銀行","未分類","未分類","","0","uZC3Py0oGKVj8GixYFEBuGMKqN-DenhYozSGYwjJUyc"
"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/03/31","ザバス(SAVAS) ソイプロテイン100 ココア味 900g 明治 販売: Amazon.co.jp","-3037","Amazon.co.jp","未分類","未分類","","0","ouMvlK3ZELXhw_pY-88bUogI3ibQOgcRHOzDAOwOnXU"
"1","2024/03/31","Lightee(ライティー) [医薬部外品] ホワイトニング ハミガキ PREMIUM ペースト 歯磨き粉 シトラスティー 100g+リーフレット付き 販売: Amazon.co.jp","-1507","Amazon.co.jp","未分類","未分類","","0","SOOITAY33_EZFoefZusEobutLbuZ9WaNkqOCG9KmL4E"
"1","2024/03/30","AP/7ーELEVEN MAPOSINL","-516","ポケットカード","未分類","未分類","","0","Aqun8NN2XnfxMYiuabBiAAL_fiWeTc0d6OHY23CKuFk"
"1","2024/03/30","GYOCHONCHIKIN(DONGDA","-8154","ポケットカード","未分類","未分類","","0","qP8uF80icIIQwl91NwUVvx__kz_lsneRqhcBHDp9Jmc"
"1","2024/03/29","(JOO)EMEICHIAENCO BU","-862","ポケットカード","未分類","未分類","","0","pyGlcMuYpXTjXC0v_NMNjy5VXm1wQFNEwjWTsC_Lcn4"
"1","2024/03/29","羽田空港旅客ターミナル","-5200","ポケットカード","食費","その他食費","","0","aRH6Xy6givuFngvp9FOf3GZS-cf_XNZ7WMW8WYQ0gJI"
"1","2024/03/29","7ーELEVEN MAPOSINLASE","-69","ポケットカード","未分類","未分類","","0","syEYbyNN5i9-VhLaPc4ilihD2TdipCzbU2UuvNdkeq8"
"1","2024/03/29","7ーELEVEN MAPOSINLASE","-517","ポケットカード","未分類","未分類","","0","s0noAO8wQG19_j_zU-PvrNOI2MafV4zUwm69152tE9I"
"1","2024/03/29","ZOZOTOWN","-250","ポケットカード","衣服・美容","衣服","","0","X4Rm_b-F8B3UYFtr8z9T4tLTXldvlINU6ytpaq8QK_0"
"1","2024/03/29","ZOZOTOWN","3249","ポケットカード","未分類","未分類","","0","OxW9ijgfbtH9gxoIWjAsoS_z5ZeMrN1R-Dd1U8xoRsQ"
"1","2024/03/28","AP/Trip.com","-735","ポケットカード","未分類","未分類","","0","SD_W3JK9d0Wk0E1Eug5ohUEPaO3NDx4bidRPYdVeXRo"
"1","2024/03/27","ココカラファイン","-432","ポケットカード","日用品","ドラッグストア","","0","k_uSLM0-7a9RCLY0t0oUABnnJ4DM6dqSK-sxbu1_rlc"
"1","2024/03/27","クドウ リク","38000","横浜銀行","未分類","未分類","","0","8s0RCnQeqMubNwoy6RHfOHWpcdSg2qheq7YPRAxq2Xo"
"1","2024/03/27","コウザフリカエ AP(インサイト.ヤチン","-77330","横浜銀行","住宅","家賃・地代","","0","9Q_yNn_wDrWxTcHMuM1K6CFCKo1kj_uCcAH14S3n4TY"
"1","2024/03/27","コウザフリカエ オリコ","-3400","横浜銀行","現金・カード","カード引き落とし","","0","Jp4Y_e5It80_KPscsnw7zPllKQI4XpqVMgh0kl3hgmo"
"1","2024/03/27","ゴヘンサイ","-12809","横浜銀行","住宅","ローン返済","","0","FSzboz9uYdcOmmd8oXlvvgWrGSYZVQ4XzCQpUwrS_2k"
"1","2024/03/26","タイムラバーズ","-20231","ポケットカード","未分類","未分類","","0","ywh_Y7Hv_XrPlpZdz0fUxRbm3IOmFkcyqweL56Gw3GY"
"1","2024/03/26","AP/セブンイレブンエビスエキヒカ","-1160","ポケットカード","食費","食料品","","0","eB-_eqxr2fxzTnnONFTyUwaqdkEoatjYeoGl65ecAu4"
"1","2024/03/26","ZOZOTOWN","-9109","ポケットカード","衣服・美容","衣服","","0","2DJx3g6WKbygI3jfYiCCjGx3ML12mUIEqEbqD6uyqUY"
"1","2024/03/26","コウザフリカエ DF.バイクパ-ク","-9130","横浜銀行","未分類","未分類","","0","gP8i1VY6RAXEGkTqrPvXs48pa4Sohal2YXVqC_YWHcY"
"1","2024/03/26","クレジツト ミツイスミトモカ-ド (カ","-148826","横浜銀行","現金・カード","カード引き落とし","","0","vjo78X0akZSL-v8ajxnFcd_i3fe7vyOKp65JMimKoZ4"
"1","2024/03/26","ゼンコクケンコウホケンキヨウカイ","206677","横浜銀行","未分類","未分類","","0","qfKCRsnJoHnDy5P0Boa1ES2CnTc7jeoCnqqOm5_ARB4"
"1","2024/03/25","AP/ヤマト運輸","-1061","ポケットカード","未分類","未分類","","0","u9XD_kYknwuDODoeD1tSmVWSFO8Or6sA5_JuA4LUeT0"
"1","2024/03/25","クドウ リク","93070","横浜銀行","未分類","未分類","","0","alySLqpJ8VtR9leekxuC99xvI5Q3xKhByEeD7p1t9Ro"
"1","2024/03/22","ZOZOTOWN","-3249","ポケットカード","衣服・美容","衣服","","0","XMa8Xm6rS8Q6ksQDINyUPWTQNuvxnxial3XXl3E-7v8"
"1","2024/03/22","セブン (セブンBK)","-7000","横浜銀行","現金・カード","ATM引き出し","","0","g3eE9uAbtniaJRTfXCMSG8nyHi7OHXFvJ1Evc-qr8j4"
"1","2024/03/14","ダイヤ (Daiya) 洗濯物干し 洗濯ハンガー ピンチハンガー フランドリー 20ピンチ ミニ FLaundry つけかえ干し分け角ハンガー20 ホワイト グレー 洗濯バサミを交換できる 長持ち エシカル 衣類に合わせた3種類の洗濯バサミ 跡がつきにくい デリケート衣類 ジーンズ 外干し 室内干し 小物干し 058129 販売: Amazon.co.jp","-999","Amazon.co.jp","未分類","未分類","","0","cIrLtx4YAGftpef6BwEFbTiUMrZ5SidFYy66pYwAcGg"
"1","2024/03/14","SALONIA サロニア ストレート ヘアアイロン 24mm 【グレー】 耐熱ポーチ付 SL-004SGR 販売: Amazon.co.jp","-2991","Amazon.co.jp","未分類","未分類","","0","M_Bx46zvXqr0sgJH4R-RZLi5YrNV5fuXmeiPOUObGjE"
"1","2024/03/14","Amazonギフト券・Amazonショッピングカードの金額","3000","Amazon.co.jp","未分類","未分類","","0","zG8Pr6zn6kRhWK1CJxhDreXgS88Bk_8lg0roTbGcDwY"
"1","2024/03/14","Mozambique キャンプマット アルミ加工 車中泊 20mm 軽量 販売: MOZAMBIQUE","-4580","Amazon.co.jp","未分類","未分類","","0","ArBhd-4BxKcZb85Ypa6XjN5evd_YUfZUvRFcn6bh6rs"
"1","2024/03/14","ダイヤ (Daiya) 洗濯ハンガー 洗濯物干し フランドリー FLaundry やさしく干す ワンタッチハンガー 8連 物干し ハンガー 連結 首元を伸ばさない 型崩れ 防止 洗濯 ハイネック Tシャツ 子供服 ホワイト 058109 販売: Amazon.co.jp","-1300","Amazon.co.jp","日用品","子育て用品","","0","LyhyBhk5viEP9gRM7zP1o21-k3eaLdnCrKUM7Mv0LPQ"
"1","2024/03/11","セブン (セブンBK)","-30000","横浜銀行","現金・カード","ATM引き出し","","0","7--_m6nYMNPKmZgR6T_8XmWen_FIOzyKiuEDiw8aIG0"
"1","2024/03/06","Amazonギフト券・Amazonショッピングカードの金額","1500","Amazon.co.jp","未分類","未分類","","0","2lUxW3-aRoyjD1J6A6ZrQVakyERiXUXV9R5cQRWi1XQ"
"1","2024/03/06","Tokyo Camp 焚き火台 ウインドスクリーン 他メーカー対応 風防 重厚感あるスチール製 風防板 キャンプ 焚き火 リフレクター 反射板 アウトドア 風よけ 黒 40cm 収納袋付き 販売: TokyoCamp(正規販売店)","-4032","Amazon.co.jp","未分類","未分類","","0","xvmYVxyZzUdZMqyMqgJWFh_EDeO_Ot6o0ibsuaoYstQ"
"1","2024/03/06","Tokyo Camp 火吹き棒 伸縮式 コンパクト 火起こし ふいご キャンプ 焚き火 焚火 天然木 (Free, 火吹き棒) 販売: TokyoCamp(正規販売店)","-2232","Amazon.co.jp","未分類","未分類","","0","hduJHoNkwx8jizym3KZX5W4AtGy0evJPbBn07HqitrQ"
